id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,,,,,,
870040,Home Sweet Home Oporto,4585046,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15125,-8.61461,Entire home/apt,47,2,496,2024-11-18,3.54,1,349,,,,,,,
878879,1 bedroom for 1-3 persons,2554908,Yuriy,GONDOMAR,Rio Tinto,41.17405,-8.56425,Private room,,1,0,,,1,0,,,,,,,
879013,Apartment at Ramalde metro station,4646480,Rui,PORTO,Ramalde,41.17242,-8.63871,Entire home/apt,51,30,184,2023-10-19,1.33,1,362,33416/AL,,,,,,
901441,Go2oporto @ Ribeira do Porto 1,399503,Go2oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14022,-8.61528,Entire home/apt,114,2,74,2024-11-09,0.65,11,312,31834/AL,,,,,,
901491,Go2oporto @ Ribeira do Porto 2,399503,Go2oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14023,-8.61512,Entire home/apt,114,2,13,2024-09-23,0.11,11,311,31839/AL,,,,,,
901558,Go2oporto @ Ribeira do Porto 3,399503,Go2oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14021,-8.6155,Entire home/apt,114,2,18,2024-07-19,0.13,11,329,31843/AL,,,,,,
940770,Loft Clérigos | Historic center,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14578,-8.61271,Entire home/apt,58,3,683,2024-12-08,4.8,8,354,26029/AL,,,,,,
969918,"city centre, view to Douro river, private parking",3148983,Rosinda,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14275,-8.60506,Entire home/apt,,3,57,2018-06-23,0.41,2,0,,,,,,,
1000044,"Room in Ribeira Porto, Douro River & D.Luis Bridge",5497765,Filipa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14025,-8.61452,Entire home/apt,86,3,211,2024-11-14,1.5,1,142,92876/AL,,,,,,
1023015,House w/pool Near the Beach-Espinho,559704,Armando,ESPINHO,Anta e Guetim,40.99886,-8.61619,Entire home/apt,70,2,112,2024-09-24,0.8,2,365,10224,,,,,,
1072112,Vitória 392 - Central Loft,5897201,Marco,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1436,-8.61568,Entire home/apt,49,1,604,2024-11-24,4.27,16,329,4916/AL,,,,,,
1075476,cozy studio 3 in downtown Porto,1266562,Lovely,PORTO,Bonfim,41.1468,-8.60139,Entire home/apt,65,2,186,2024-10-10,1.38,17,301,109485/AL,,,,,,
1081354,Studio with river view by YoursPorto,1675750,YoursPorto,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14245,-8.62651,Entire home/apt,77,1,752,2024-12-06,5.31,21,359,23424/AL,,,,,,
1083736,Vitória 392 - Central  Apartment,5897201,Marco,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14344,-8.61633,Entire home/apt,47,2,194,2024-12-01,1.37,16,352,4925/AL,,,,,,
1096376,Urban apartment - Casa da Portela 5105/AL,6024220,Maria João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14409,-8.61145,Entire home/apt,126,2,220,2024-10-28,1.58,1,291,5105/AL,,,,,,
1119084,Ar do mar e olhar a Natureza.,6020311,Maria,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.09142,-8.65001,Entire home/apt,75,4,45,2024-10-02,0.36,2,251,67776/AL,,,,,,
1144090,O'Porto Studio | Historic Center,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14826,-8.61574,Entire home/apt,70,3,673,2024-11-18,4.77,8,365,44228/AL,,,,,,
1165025,17 Largo Viriato Historic Center,5723366,Miguel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14583,-8.62022,Entire home/apt,76,3,305,2024-11-03,2.18,3,256,44934/AL,,,,,,
1168784,Mouzinho 134 - Historical Center - Green,3565697,Eugenia And Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14295,-8.61372,Entire home/apt,71,2,445,2024-11-28,3.18,9,365,6466/AL,,,,,,
1170448,GuestHouse Pool&Sea Espinho Oporto,6317610,Isa,ESPINHO,Anta e Guetim,40.99888,-8.61631,Private room,80,2,62,2024-09-07,0.45,2,365,,,,,,,
1179009,Superior Apartment with 2 Rooms and Terrace,6450606,Joana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15496,-8.62649,Entire home/apt,109,2,72,2024-10-20,0.51,5,356,,,,,,,
1179607,Duplex Apartment,6450606,Joana,PORTO,Lordelo do Ouro e Massarelos,41.15283,-8.62657,Entire home/apt,99,2,27,2024-11-17,0.19,5,352,,,,,,,
1185985,Green House - Quarto 1,6485316,Paula,PORTO,Lordelo do Ouro e Massarelos,41.14802,-8.63116,Private room,100,3,77,2020-03-15,0.55,2,245,6504/AL,,,,,,
1192674,4 Bedroom Apartment  - Porto,6518808,Miguel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16505,-8.6289,Entire home/apt,162,2,324,2024-11-16,2.31,2,312,17079/AL,,,,,,
1207275,Mouzinho 134 - Historical Center - Blue,3565697,Eugenia And Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14298,-8.61363,Entire home/apt,234,2,455,2024-12-08,3.26,9,359,6467/AL,,,,,,
1257019,Casa 22 ***** City centre cozy apartment!,6847458,Kiki & Teresa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14497,-8.60766,Entire home/apt,59,5,271,2024-10-27,1.94,2,365,,,,,,,
1263840,Charming attic room & WC + Garden,5732545,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15957,-8.62422,Private room,,3,303,2024-10-19,2.34,2,0,45553/AL,,,,,,
1268146,Light and colorful cosy studio,6250742,Fred,PORTO,Paranhos,41.1841,-8.60908,Entire home/apt,100,2,73,2024-07-01,0.7,22,1,87520/AL,,,,,,
1277754,River&Bridges apartments 2 in Porto,3326280,Rui,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13795,-8.61162,Entire home/apt,50,2,378,2024-11-25,2.71,2,325,128530/AL,,,,,,
1284630,Sótão acolhedor num prédio do século XVIII,6988977,Casa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14397,-8.61777,Entire home/apt,81,1,107,2024-10-22,0.86,3,173,16768/AL,,,,,,
1284759,ABEL'S IN DOWNTOWN - THE PLACE TO BE 1 OF 2,6989703,Abel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14855,-8.61662,Entire home/apt,54,2,717,2024-12-07,5.19,13,168,16769/AL,,,,,,
15392562,"Casa em Lourosa, Av. Principal nº 5950.",98435944,Carlos,SANTA MARIA DA FEIRA,Lourosa,40.97041,-8.53752,Entire home/apt,,3,56,2022-01-01,0.57,1,0,,,,,,,
20047284,Double Room in Porto (Antas),142247477,Nuno,PORTO,Campanhã,41.1592,-8.59108,Private room,,1,3,2019-03-07,0.03,4,0,,,,,,,
23017582,"Apartamento  centro cidade, equipado e com AirC",429054820,Maria Manuela,PORTO,Bonfim,41.14769,-8.600418,Entire home/apt,63,3,50,2024-11-03,0.61,3,200,16700/AL,,,,,,
23504966,Casa Particular de Monsanto 2,119157440,Manuela,PORTO,Paranhos,41.17136,-8.61571,Private room,,2,30,2023-05-26,0.39,3,365,432029,,,,,,
